Date,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated
6/9/2008,10:00,TRUE,0.166883963,75,30,8.6,1,10,66,3,29.82,22761
6/9/2008,13:00,TRUE,0.06779661,75,30,8.6,0,10,29,16,29.79,28193
6/9/2008,16:00,TRUE,0.302477184,75,30,8.6,0,10,39,18,29.75,14835
6/9/2008,19:00,TRUE,0.537157757,75,30,8.6,0,10,57,14,29.74,375
6/9/2008,22:00,FALSE,0.771838331,75,30,8.6,0,10,65,8,29.76,0
7/9/2008,01:00,FALSE,0.873036649,62,29,14.9,1,10,81,8,29.76,0
7/9/2008,04:00,FALSE,0.637434555,62,29,14.9,1,10,87,7,29.74,0
7/9/2008,07:00,TRUE,0.401832461,62,29,14.9,1,10,84,8,29.76,2963
7/9/2008,10:00,TRUE,0.166230366,62,29,14.9,1,10,68,14,29.77,24553
7/9/2008,13:00,TRUE,0.069371728,62,29,14.9,1,10,61,22,29.73,29986
7/9/2008,16:00,TRUE,0.304973822,62,29,14.9,1,10,70,25,29.71,15403
7/9/2008,19:00,TRUE,0.540575916,62,29,14.9,1,10,87,22,29.73,379
7/9/2008,22:00,FALSE,0.77617801,62,29,14.9,1,10,90,13,29.75,0
8/9/2008,01:00,FALSE,0.875328084,64,31,5.8,3,10,90,7,29.76,0
8/9/2008,04:00,FALSE,0.639107612,64,31,5.8,4,10,87,5,29.75,0
8/9/2008,07:00,TRUE,0.402887139,64,31,5.8,4,9,87,0,29.77,249
8/9/2008,10:00,TRUE,0.166666667,64,31,5.8,1,9,73,5,29.78,9910
8/9/2008,13:00,TRUE,0.069553806,64,31,5.8,1,10,59,10,29.75,28515
8/9/2008,16:00,TRUE,0.305774278,64,31,5.8,1,10,61,14,29.7,17490
8/9/2008,19:00,TRUE,0.541994751,64,31,5.8,1,10,73,6,29.72,773
8/9/2008,22:00,FALSE,0.778215223,64,31,5.8,1,10,87,6,29.75,0
9/9/2008,01:00,FALSE,0.878787879,63,21,10.5,3,10,84,7,29.76,0
9/9/2008,04:00,FALSE,0.641633729,63,21,10.5,3,10,78,7,29.75,0
9/9/2008,07:00,TRUE,0.404479578,63,21,10.5,4,10,81,8,29.78,65
9/9/2008,10:00,TRUE,0.167325428,63,21,10.5,4,10,73,5,29.8,5219
9/9/2008,13:00,TRUE,0.069828722,63,21,10.5,1,10,63,15,29.76,10789
9/9/2008,16:00,TRUE,0.306982872,63,21,10.5,1,10,68,20,29.74,5208
9/9/2008,19:00,TRUE,0.544137022,63,21,10.5,1,10,78,7,29.74,60
9/9/2008,22:00,FALSE,0.781291173,63,21,10.5,3,10,81,13,29.76,0
10/9/2008,01:00,FALSE,0.880952381,64,28,9.7,3,10,81,7,29.76,0
10/9/2008,04:00,FALSE,0.642857143,64,28,9.7,4,10,81,7,29.77,0
10/9/2008,07:00,TRUE,0.404761905,64,28,9.7,4,10,78,7,29.8,1346
10/9/2008,10:00,TRUE,0.166666667,64,28,9.7,3,10,68,3,29.84,18380
10/9/2008,13:00,TRUE,0.071428571,64,28,9.7,1,10,59,16,29.81,28891
10/9/2008,16:00,TRUE,0.30952381,64,28,9.7,1,10,63,18,29.8,14687
10/9/2008,19:00,TRUE,0.547619048,64,28,9.7,1,10,81,15,29.82,345
10/9/2008,22:00,FALSE,0.785714286,64,28,9.7,1,10,84,8,29.85,0
11/9/2008,01:00,FALSE,0.883289125,61,29,11.4,2,10,87,10,29.85,0
11/9/2008,04:00,FALSE,0.644562334,61,29,11.4,4,10,87,3,29.85,0
11/9/2008,07:00,TRUE,0.405835544,61,29,11.4,4,8,84,3,29.87,292
11/9/2008,10:00,TRUE,0.167108753,61,29,11.4,2,10,73,3,29.87,10767
11/9/2008,13:00,TRUE,0.071618037,61,29,11.4,1,10,68,21,29.84,27641
11/9/2008,16:00,TRUE,0.310344828,61,29,11.4,1,10,75,23,29.81,13835
11/9/2008,19:00,TRUE,0.549071618,61,29,11.4,1,10,87,18,29.83,145
11/9/2008,22:00,FALSE,0.787798408,61,29,11.4,1,10,87,10,29.86,0
12/9/2008,01:00,FALSE,0.886817577,60,28,11.7,3,10,90,13,29.87,0
12/9/2008,04:00,FALSE,0.64713715,60,28,11.7,3,10,83,8,29.87,0
12/9/2008,07:00,TRUE,0.407456724,60,28,11.7,4,10,86,5,29.9,229
12/9/2008,10:00,TRUE,0.167776298,60,28,11.7,4,9,81,7,29.93,4349
12/9/2008,13:00,TRUE,0.071904128,60,28,11.7,1,10,68,16,29.88,19126
12/9/2008,16:00,TRUE,0.311584554,60,28,11.7,1,10,73,21,29.85,14692
12/9/2008,19:00,TRUE,0.55126498,60,28,11.7,3,10,80,13,29.88,436
12/9/2008,22:00,FALSE,0.790945406,60,28,11.7,3,10,86,9,29.9,0
13/9/2008,01:00,FALSE,0.886666667,61,29,9,3,10,80,8,29.9,0
13/9/2008,04:00,FALSE,0.646666667,61,29,9,4,10,80,6,29.87,0
13/9/2008,07:00,TRUE,0.406666667,61,29,9,4,10,83,5,29.9,408
13/9/2008,10:00,TRUE,0.166666667,61,29,9,4,10,72,3,29.93,11376
13/9/2008,13:00,TRUE,0.073333333,61,29,9,2,10,61,16,29.89,28611
13/9/2008,16:00,TRUE,0.313333333,61,29,9,2,10,65,17,29.86,14587
13/9/2008,19:00,TRUE,0.553333333,61,29,9,1,10,81,14,29.89,239
13/9/2008,22:00,FALSE,0.793333333,61,29,9,1,10,83,7,29.93,0
14/9/2008,01:00,FALSE,0.890227577,62,29,10.1,4,10,83,5,29.94,0
14/9/2008,04:00,FALSE,0.649263722,62,29,10.1,4,10,87,3,29.94,0
14/9/2008,07:00,TRUE,0.408299866,62,29,10.1,4,10,84,5,29.97,250
14/9/2008,10:00,TRUE,0.167336011,62,29,10.1,3,9,73,7,30,15149
14/9/2008,13:00,TRUE,0.073627845,62,29,10.1,1,10,63,15,29.96,28581
14/9/2008,16:00,TRUE,0.3145917,62,29,10.1,1,10,68,21,29.94,13787
14/9/2008,19:00,TRUE,0.555555556,62,29,10.1,1,10,78,18,29.97,218
14/9/2008,22:00,FALSE,0.796519411,62,29,10.1,1,10,83,13,29.99,0
15/9/2008,01:00,FALSE,0.89261745,60,28,12.6,3,10,86,9,29.99,0
15/9/2008,04:00,FALSE,0.651006711,60,28,12.6,4,10,87,7,29.97,0
15/9/2008,07:00,TRUE,0.409395973,60,28,12.6,4,7,90,7,30.01,413
15/9/2008,10:00,TRUE,0.167785235,60,28,12.6,3,7,78,5,30.01,17412
15/9/2008,13:00,TRUE,0.073825503,60,28,12.6,1,10,63,16,29.95,28239
15/9/2008,16:00,TRUE,0.315436242,60,28,12.6,1,10,70,22,29.92,13397
15/9/2008,19:00,TRUE,0.55704698,60,28,12.6,1,10,83,18,29.94,193
15/9/2008,22:00,FALSE,0.798657718,60,28,12.6,1,10,90,13,29.96,0
16/9/2008,01:00,FALSE,0.894878706,59,28,12.7,2,10,90,11,29.97,0
16/9/2008,04:00,FALSE,0.652291105,59,28,12.7,3,10,83,9,29.96,0
16/9/2008,07:00,TRUE,0.409703504,59,28,12.7,4,9,83,9,29.97,685
16/9/2008,10:00,TRUE,0.167115903,59,28,12.7,3,10,72,7,29.98,16170
16/9/2008,13:00,TRUE,0.075471698,59,28,12.7,1,10,63,21,29.94,28148
16/9/2008,16:00,TRUE,0.318059299,59,28,12.7,2,10,67,20,29.92,13455
16/9/2008,19:00,TRUE,0.5606469,59,28,12.7,1,10,80,14,29.95,198
16/9/2008,22:00,FALSE,0.803234501,59,28,12.7,2,10,78,11,29.99,0
17/9/2008,01:00,FALSE,0.897297297,62,24,9.6,4,10,75,10,30,0
17/9/2008,04:00,FALSE,0.654054054,62,24,9.6,4,10,72,7,29.99,0
17/9/2008,07:00,TRUE,0.410810811,62,24,9.6,4,10,70,3,30.03,332
17/9/2008,10:00,TRUE,0.167567568,62,24,9.6,4,10,63,10,30.07,5866
17/9/2008,13:00,TRUE,0.075675676,62,24,9.6,2,10,52,10,30.04,22094
17/9/2008,16:00,TRUE,0.318918919,62,24,9.6,0,10,54,17,30.01,13893
17/9/2008,19:00,TRUE,0.562162162,62,24,9.6,0,10,70,9,30,154
17/9/2008,22:00,FALSE,0.805405405,62,24,9.6,0,10,72,6,30.01,0
18/9/2008,01:00,FALSE,0.900949796,60,26,7.9,1,10,78,6,30.01,0
18/9/2008,04:00,FALSE,0.656716418,60,26,7.9,1,10,86,0,29.99,0
18/9/2008,07:00,TRUE,0.412483039,60,26,7.9,1,10,83,0,30.02,4342
18/9/2008,10:00,TRUE,0.168249661,60,26,7.9,1,10,56,10,30.05,24175
18/9/2008,13:00,TRUE,0.075983718,60,26,7.9,0,10,49,15,30.02,29378
18/9/2008,16:00,TRUE,0.320217096,60,26,7.9,0,10,51,15,29.98,13686
18/9/2008,19:00,TRUE,0.564450475,60,26,7.9,1,10,65,8,29.96,112
18/9/2008,22:00,FALSE,0.808683853,60,26,7.9,0,10,67,6,29.98,0
19/9/2008,01:00,FALSE,0.902040816,63,21,7.3,1,10,78,3,29.99,0
19/9/2008,04:00,FALSE,0.657142857,63,21,7.3,1,10,80,5,29.98,0
19/9/2008,07:00,TRUE,0.412244898,63,21,7.3,1,10,80,3,29.99,4232
19/9/2008,10:00,TRUE,0.167346939,63,21,7.3,1,10,63,9,30,22783
19/9/2008,13:00,TRUE,0.07755102,63,21,7.3,3,10,61,9,29.98,24479
19/9/2008,16:00,TRUE,0.32244898,63,21,7.3,4,10,63,10,29.97,1628
19/9/2008,19:00,TRUE,0.567346939,63,21,7.3,4,10,81,11,29.98,0
19/9/2008,22:00,FALSE,0.812244898,63,21,7.3,3,10,81,6,29.99,0
20/9/2008,01:00,FALSE,0.904502046,65,28,10.3,4,10,87,8,30.01,0
20/9/2008,04:00,FALSE,0.65893588,65,28,10.3,4,10,90,8,30.01,0
20/9/2008,07:00,TRUE,0.413369714,65,28,10.3,4,10,84,6,30.03,650
20/9/2008,10:00,TRUE,0.167803547,65,28,10.3,4,10,70,9,30.05,9141
20/9/2008,13:00,TRUE,0.077762619,65,28,10.3,2,10,63,11,30.03,25527
20/9/2008,16:00,TRUE,0.323328786,65,28,10.3,3,10,75,15,30.01,12847
20/9/2008,19:00,TRUE,0.568894952,65,28,10.3,4,10,87,14,30,122
20/9/2008,22:00,FALSE,0.814461119,65,28,10.3,3,10,87,15,30,0
21/9/2008,01:00,FALSE,0.906849315,63,27,14.4,3,10,87,8,29.97,0
21/9/2008,04:00,FALSE,0.660273973,63,27,14.4,3,10,81,13,29.96,0
21/9/2008,07:00,TRUE,0.41369863,63,27,14.4,4,10,84,8,29.98,997
21/9/2008,10:00,TRUE,0.167123288,63,27,14.4,2,10,70,10,29.99,12786
21/9/2008,13:00,TRUE,0.079452055,63,27,14.4,2,10,65,20,29.97,28277
21/9/2008,16:00,TRUE,0.326027397,63,27,14.4,2,10,70,24,29.96,12816
21/9/2008,19:00,TRUE,0.57260274,63,27,14.4,1,10,78,16,29.94,81
21/9/2008,22:00,FALSE,0.819178082,63,27,14.4,1,10,84,11,29.96,0
22/9/2008,01:00,FALSE,0.909340659,66,29,7.3,1,10,87,0,29.96,0
22/9/2008,04:00,FALSE,0.662087912,66,29,7.3,0,10,86,3,29.95,0
22/9/2008,07:00,TRUE,0.414835165,66,29,7.3,1,10,81,0,30,4026
22/9/2008,10:00,TRUE,0.167582418,66,29,7.3,1,10,70,5,30.02,23081
22/9/2008,13:00,TRUE,0.07967033,66,29,7.3,1,10,34,16,29.99,27284
22/9/2008,16:00,TRUE,0.326923077,66,29,7.3,0,10,48,17,29.96,12287
22/9/2008,19:00,TRUE,0.574175824,66,29,7.3,1,10,70,16,29.95,79
22/9/2008,22:00,FALSE,0.821428571,66,29,7.3,0,10,78,8,29.97,0
23/9/2008,01:00,FALSE,0.913103448,69,29,8.7,0,10,81,6,29.97,0
23/9/2008,04:00,FALSE,0.664827586,69,29,8.7,0,10,75,3,29.96,0
23/9/2008,07:00,TRUE,0.416551724,69,29,8.7,1,9,84,3,29.98,3974
23/9/2008,10:00,TRUE,0.168275862,69,29,8.7,0,9,73,5,29.99,23119
23/9/2008,13:00,TRUE,0.08,69,29,8.7,0,10,66,6,29.94,26858
23/9/2008,16:00,TRUE,0.328275862,69,29,8.7,0,10,37,21,29.9,12109
23/9/2008,19:00,TRUE,0.576551724,69,29,8.7,0,10,56,18,29.91,65
23/9/2008,22:00,FALSE,0.824827586,69,29,8.7,0,10,75,11,29.94,0
24/9/2008,01:00,FALSE,0.914246196,66,29,10.1,0,10,84,3,29.94,0
24/9/2008,04:00,FALSE,0.665283541,66,29,10.1,0,10,90,5,29.92,0
24/9/2008,07:00,TRUE,0.416320885,66,29,10.1,1,9,90,5,29.94,3749
24/9/2008,10:00,TRUE,0.16735823,66,29,10.1,1,10,66,3,29.95,22695
24/9/2008,13:00,TRUE,0.081604426,66,29,10.1,1,10,51,13,29.92,27114
24/9/2008,16:00,TRUE,0.330567082,66,29,10.1,1,10,49,16,29.89,12017
24/9/2008,19:00,TRUE,0.579529737,66,29,10.1,1,10,56,16,29.89,59
24/9/2008,22:00,FALSE,0.828492393,66,29,10.1,0,10,62,11,29.92,0
25/9/2008,01:00,FALSE,0.918055556,67,29,9.3,0,10,67,3,29.91,0
25/9/2008,04:00,FALSE,0.668055556,67,29,9.3,0,10,80,6,29.9,0
25/9/2008,07:00,TRUE,0.418055556,67,29,9.3,2,10,70,0,29.93,3894
25/9/2008,10:00,TRUE,0.168055556,67,29,9.3,2,10,63,7,29.95,23066
25/9/2008,13:00,TRUE,0.081944444,67,29,9.3,2,10,47,15,29.91,27072
25/9/2008,16:00,TRUE,0.331944444,67,29,9.3,2,10,57,21,29.88,11864
25/9/2008,19:00,TRUE,0.581944444,67,29,9.3,1,10,70,11,29.89,51
25/9/2008,22:00,FALSE,0.831944444,67,29,9.3,0,10,81,8,29.91,0
26/9/2008,01:00,FALSE,0.919332406,66,29,10.7,0,10,81,6,29.91,0
26/9/2008,04:00,FALSE,0.668984701,66,29,10.7,0,9,87,7,29.9,0
26/9/2008,07:00,TRUE,0.418636996,66,29,10.7,2,9,84,6,29.93,3661
26/9/2008,10:00,TRUE,0.168289291,66,29,10.7,1,10,68,6,29.95,22534
26/9/2008,13:00,TRUE,0.082058414,66,29,10.7,1,10,50,13,29.91,26744
26/9/2008,16:00,TRUE,0.33240612,66,29,10.7,1,10,68,18,29.9,11627
26/9/2008,19:00,TRUE,0.582753825,66,29,10.7,1,10,90,15,29.92,43
26/9/2008,22:00,FALSE,0.83310153,66,29,10.7,1,10,90,10,29.94,0
27/9/2008,01:00,FALSE,0.921787709,66,29,9.1,1,10,90,10,29.95,0
27/9/2008,04:00,FALSE,0.670391061,66,29,9.1,1,10,93,3,29.93,0
27/9/2008,07:00,TRUE,0.418994413,66,29,9.1,1,10,93,6,29.95,3615
27/9/2008,10:00,TRUE,0.167597765,66,29,9.1,0,10,73,3,29.95,22037
27/9/2008,13:00,TRUE,0.083798883,66,29,9.1,1,10,56,6,29.9,26026
27/9/2008,16:00,TRUE,0.335195531,66,29,9.1,1,10,59,20,29.85,1728
27/9/2008,19:00,TRUE,0.586592179,66,29,9.1,0,10,73,15,29.89,0
27/9/2008,22:00,FALSE,0.837988827,66,29,9.1,1,10,81,5,29.92,0
28/9/2008,01:00,FALSE,0.925666199,61,30,12.3,1,10,90,13,29.92,0
28/9/2008,04:00,FALSE,0.673211781,61,30,12.3,1,10,93,8,29.91,0
28/9/2008,07:00,TRUE,0.420757363,61,30,12.3,1,10,93,8,29.94,2406
28/9/2008,10:00,TRUE,0.168302945,61,30,12.3,1,10,65,9,29.94,22113
28/9/2008,13:00,TRUE,0.084151473,61,30,12.3,1,10,63,20,29.9,26823
28/9/2008,16:00,TRUE,0.336605891,61,30,12.3,1,10,70,21,29.89,10798
28/9/2008,19:00,TRUE,0.589060309,61,30,12.3,1,10,87,11,29.93,0
28/9/2008,22:00,FALSE,0.841514727,61,30,12.3,2,10,90,11,29.96,0
29/9/2008,01:00,FALSE,0.928270042,62,28,8.4,4,10,90,8,29.97,0
29/9/2008,04:00,FALSE,0.675105485,62,28,8.4,4,10,87,6,29.96,0
29/9/2008,07:00,TRUE,0.421940928,62,28,8.4,4,10,87,6,29.96,373
29/9/2008,10:00,TRUE,0.168776371,62,28,8.4,3,10,75,5,29.98,13921
29/9/2008,13:00,TRUE,0.084388186,62,28,8.4,2,10,63,15,29.94,26393
29/9/2008,16:00,TRUE,0.337552743,62,28,8.4,2,10,68,15,29.95,11093
29/9/2008,19:00,TRUE,0.5907173,62,28,8.4,2,10,75,11,29.96,47
29/9/2008,22:00,FALSE,0.843881857,62,28,8.4,0,10,81,8,29.97,0
30/9/2008,01:00,FALSE,0.93079096,65,29,6.9,0,10,81,5,29.98,0
30/9/2008,04:00,FALSE,0.676553672,65,29,6.9,1,10,87,5,29.99,0
30/9/2008,07:00,TRUE,0.422316384,65,29,6.9,2,10,83,0,30.04,3110
30/9/2008,10:00,TRUE,0.168079096,65,29,6.9,2,10,70,3,30.05,21023
30/9/2008,13:00,TRUE,0.086158192,65,29,6.9,2,10,50,9,30.01,25702
30/9/2008,16:00,TRUE,0.34039548,65,29,6.9,2,10,53,18,29.97,10972
30/9/2008,19:00,TRUE,0.594632768,65,29,6.9,1,10,68,15,29.99,0
30/9/2008,22:00,FALSE,0.848870056,65,29,6.9,1,10,67,0,30.01,0
1/10/2008,01:00,FALSE,0.933427762,66,29,7.8,1,10,67,0,30,0
1/10/2008,04:00,FALSE,0.678470255,66,29,7.8,1,10,78,5,29.99,0
1/10/2008,07:00,TRUE,0.423512748,66,29,7.8,2,10,75,0,29.98,3715
1/10/2008,10:00,TRUE,0.168555241,66,29,7.8,3,10,71,3,29.98,18312
1/10/2008,13:00,TRUE,0.086402266,66,29,7.8,3,10,50,22,29.95,19583
1/10/2008,16:00,TRUE,0.341359773,66,29,7.8,3,10,59,16,29.92,6135
1/10/2008,19:00,TRUE,0.59631728,66,29,7.8,3,10,81,8,29.96,178
1/10/2008,22:00,FALSE,0.851274788,66,29,7.8,3,10,84,9,29.95,0
2/10/2008,01:00,FALSE,0.937411095,67,27,9.5,3,10,84,10,29.94,0
2/10/2008,04:00,FALSE,0.681365576,67,27,9.5,4,10,87,6,29.92,0
2/10/2008,07:00,TRUE,0.425320057,67,27,9.5,4,10,81,0,29.96,53
2/10/2008,10:00,TRUE,0.169274538,67,27,9.5,3,10,73,6,29.98,7496
2/10/2008,13:00,TRUE,0.086770982,67,27,9.5,3,10,62,17,29.97,19260
2/10/2008,16:00,TRUE,0.342816501,67,27,9.5,3,10,76,9,29.92,4961
2/10/2008,19:00,TRUE,0.59886202,67,27,9.5,3,10,87,13,29.91,0
2/10/2008,22:00,FALSE,0.854907539,67,27,9.5,2,10,90,16,29.92,0
3/10/2008,01:00,FALSE,0.940085592,65,19,8.5,4,10,90,7,29.91,0
3/10/2008,04:00,FALSE,0.683309558,65,19,8.5,3,10,87,8,29.86,0
3/10/2008,07:00,TRUE,0.426533524,65,19,8.5,3,10,84,5,29.87,1093
3/10/2008,10:00,TRUE,0.169757489,65,19,8.5,3,10,73,3,29.87,11844
3/10/2008,13:00,TRUE,0.087018545,65,19,8.5,3,10,63,0,29.83,11357
3/10/2008,16:00,TRUE,0.343794579,65,19,8.5,4,10,65,9,29.77,3375
3/10/2008,19:00,TRUE,0.600570613,65,19,8.5,4,10,70,14,29.76,0
3/10/2008,22:00,FALSE,0.857346648,65,19,8.5,4,3,90,13,29.75,0
4/10/2008,01:00,FALSE,0.941344778,64,26,14.4,4,9,93,15,29.73,0
4/10/2008,04:00,FALSE,0.683834049,64,26,14.4,4,7,90,17,29.75,0
4/10/2008,07:00,TRUE,0.426323319,64,26,14.4,4,8,90,8,29.79,1653
4/10/2008,10:00,TRUE,0.168812589,64,26,14.4,3,10,81,13,29.84,5957
4/10/2008,13:00,TRUE,0.08869814,64,26,14.4,2,10,66,16,29.86,21177
4/10/2008,16:00,TRUE,0.34620887,64,26,14.4,2,10,70,15,29.88,9729
4/10/2008,19:00,TRUE,0.603719599,64,26,14.4,1,10,81,14,29.91,0
4/10/2008,22:00,FALSE,0.861230329,64,26,14.4,2,10,84,18,29.95,0
5/10/2008,01:00,FALSE,0.944045911,65,28,11.1,1,10,81,15,29.96,0
5/10/2008,04:00,FALSE,0.68579627,65,28,11.1,1,10,84,10,29.96,0
5/10/2008,07:00,TRUE,0.427546628,65,28,11.1,2,10,81,8,29.99,2198
5/10/2008,10:00,TRUE,0.169296987,65,28,11.1,3,10,57,7,30.01,20493
5/10/2008,13:00,TRUE,0.088952654,65,28,11.1,3,10,55,15,30,18931
5/10/2008,16:00,TRUE,0.347202296,65,28,11.1,3,10,61,11,29.99,11566
5/10/2008,19:00,TRUE,0.605451937,65,28,11.1,1,10,81,15,30.01,0
5/10/2008,22:00,FALSE,0.863701578,65,28,11.1,2,10,87,14,30.03,0
6/10/2008,01:00,FALSE,0.948126801,66,28,10.5,4,10,93,7,30.04,0
6/10/2008,04:00,FALSE,0.688760807,66,28,10.5,4,10,90,0,30.05,0
6/10/2008,07:00,TRUE,0.429394813,66,28,10.5,4,9,84,5,30.07,532
6/10/2008,10:00,TRUE,0.170028818,66,28,10.5,1,9,73,5,30.1,22044
6/10/2008,13:00,TRUE,0.089337176,66,28,10.5,0,10,59,3,30.05,27732
6/10/2008,16:00,TRUE,0.34870317,66,28,10.5,1,10,70,22,30.05,11398
6/10/2008,19:00,TRUE,0.608069164,66,28,10.5,1,10,93,22,30.07,0
6/10/2008,22:00,FALSE,0.867435159,66,28,10.5,3,10,93,21,30.1,0
7/10/2008,01:00,FALSE,0.949421965,65,28,10.2,2,10,93,14,30.12,0
7/10/2008,04:00,FALSE,0.689306358,65,28,10.2,1,10,96,7,30.12,0
7/10/2008,07:00,TRUE,0.429190751,65,28,10.2,3,10,96,0,30.16,0
7/10/2008,10:00,TRUE,0.169075145,65,28,10.2,2,7,81,3,30.17,15458
7/10/2008,13:00,TRUE,0.091040462,65,28,10.2,0,9,71,3,30.11,27357
7/10/2008,16:00,TRUE,0.351156069,65,28,10.2,0,10,55,22,30.07,10975
7/10/2008,19:00,TRUE,0.611271676,65,28,10.2,0,10,73,16,30.06,0
7/10/2008,22:00,FALSE,0.871387283,65,28,10.2,0,10,81,11,30.05,0
8/10/2008,01:00,FALSE,0.953555878,66,27,12.6,0,10,84,7,30.03,0
8/10/2008,04:00,FALSE,0.692307692,66,27,12.6,1,10,83,0,30.01,0
8/10/2008,07:00,TRUE,0.431059507,66,27,12.6,0,9,90,3,30.02,3816
8/10/2008,10:00,TRUE,0.169811321,66,27,12.6,0,9,76,3,30.01,23843
8/10/2008,13:00,TRUE,0.091436865,66,27,12.6,0,10,55,24,29.95,27645
8/10/2008,16:00,TRUE,0.352685051,66,27,12.6,1,10,61,25,29.92,11063
8/10/2008,19:00,TRUE,0.613933237,66,27,12.6,0,10,72,9,29.9,0
8/10/2008,22:00,FALSE,0.875181422,66,27,12.6,0,10,78,23,29.91,0
9/10/2008,01:00,FALSE,0.956331878,62,27,14.6,0,10,83,15,29.91,0
9/10/2008,04:00,FALSE,0.694323144,62,27,14.6,0,10,80,13,29.92,0
9/10/2008,07:00,TRUE,0.43231441,62,27,14.6,1,10,75,9,29.96,3837
9/10/2008,10:00,TRUE,0.170305677,62,27,14.6,0,10,47,5,30,24973
9/10/2008,13:00,TRUE,0.091703057,62,27,14.6,0,10,36,16,29.97,28183
9/10/2008,16:00,TRUE,0.35371179,62,27,14.6,0,10,50,26,29.94,10894
